serial_number,latency,timestamp
MONA,150.415,2022-06-30 13:11:51
MONA,139.566,2022-06-30 13:11:51
LISA,147.856,2022-06-30 13:11:52
MONA,178.313,2022-06-30 13:11:52
LISA,186.122,2022-06-30 13:11:52
MONA,139.606,2022-06-30 13:11:52
LISA,139.668,2022-06-30 13:11:52
MONA,139.056,2022-06-30 13:11:52
BOSSA,222.481,2022-06-30 13:11:53
LISA,151.281,2022-06-30 13:11:53
MONA,139.344,2022-06-30 13:11:53
BOSSA,141.671,2022-06-30 13:11:53
LISA,247.658,2022-06-30 13:11:53
MONA,146.841,2022-06-30 13:11:53
NOVA,140.839,2022-06-30 13:11:54
BOSSA,231.377,2022-06-30 13:11:54
LISA,142.023,2022-06-30 13:11:54
MONA,265.079,2022-06-30 13:11:54
NOVA,149.378,2022-06-30 13:11:54
BOSSA,148.681,2022-06-30 13:11:54
LISA,139.206,2022-06-30 13:11:54
MONA,139.848,2022-06-30 13:11:54
NOVA,247.035,2022-06-30 13:11:55
BOSSA,246.742,2022-06-30 13:11:55
TERRA,192.745,2022-06-30 13:11:55
LISA,144.341,2022-06-30 13:11:55
MONA,141.52,2022-06-30 13:11:55
NOVA,144.827,2022-06-30 13:11:55
BOSSA,259.085,2022-06-30 13:11:55
LISA,257.328,2022-06-30 13:11:55
TERRA,258.976,2022-06-30 13:11:55
MONA,146.157,2022-06-30 13:11:55
COTA,139.988,2022-06-30 13:11:56
NOVA,217.782,2022-06-30 13:11:56
BOSSA,141.01,2022-06-30 13:11:56
MONA,244.676,2022-06-30 13:11:56
LISA,247.456,2022-06-30 13:11:56
TERRA,247.652,2022-06-30 13:11:56
COTA,139.847,2022-06-30 13:11:56
NOVA,294.393,2022-06-30 13:11:56
BOSSA,188.699,2022-06-30 13:11:56
MONA,188.383,2022-06-30 13:11:56
TERRA,187.048,2022-06-30 13:11:56
LISA,188.776,2022-06-30 13:11:56
COTA,139.21,2022-06-30 13:11:57
NOVA,139.585,2022-06-30 13:11:57
BOSSA,246.11,2022-06-30 13:11:57
MONA,245.826,2022-06-30 13:11:57
LISA,244.442,2022-06-30 13:11:57
TERRA,246.098,2022-06-30 13:11:57
COTA,146.221,2022-06-30 13:11:57
NOVA,139.473,2022-06-30 13:11:57
BOSSA,141.859,2022-06-30 13:11:57
MONA,245.861,2022-06-30 13:11:57
COTA,243.328,2022-06-30 13:11:57
LISA,245.685,2022-06-30 13:11:57
TERRA,245.168,2022-06-30 13:11:57
NOVA,146.331,2022-06-30 13:11:58
BOSSA,139.51,2022-06-30 13:11:58
MONA,140.324,2022-06-30 13:11:58
COTA,251.889,2022-06-30 13:11:58
LISA,251.539,2022-06-30 13:11:58
TERRA,251.234,2022-06-30 13:11:58
NOVA,251.067,2022-06-30 13:11:58
BOSSA,150.307,2022-06-30 13:11:58
MONA,143.1,2022-06-30 13:11:58
COTA,140.036,2022-06-30 13:11:59
NOVA,243.853,2022-06-30 13:11:59
BOSSA,243.314,2022-06-30 13:11:59
LISA,247.409,2022-06-30 13:11:59
TERRA,246.708,2022-06-30 13:11:59
MONA,144.512,2022-06-30 13:11:59
COTA,139.523,2022-06-30 13:11:59
NOVA,143.087,2022-06-30 13:11:59
BOSSA,246.48,2022-06-30 13:11:59
MONA,244.409,2022-06-30 13:11:59
