serial_number,latency,timestamp
BOSSA,153.377,2022-06-30 11:52:39
NOVA,151.913,2022-06-30 11:52:40
TERRA,150.182,2022-06-30 11:52:40
COTA,150.852,2022-06-30 11:52:41
MONA,152.554,2022-06-30 11:52:41
LISA,150.696,2022-06-30 11:52:42
BOSSA,149.835,2022-06-30 11:52:42
NOVA,150.107,2022-06-30 11:52:43
TERRA,150.459,2022-06-30 11:52:43
COTA,150.921,2022-06-30 11:52:44
MONA,156.233,2022-06-30 11:52:44
LISA,247.839,2022-06-30 11:52:45
BOSSA,166.073,2022-06-30 11:52:46
NOVA,154.481,2022-06-30 11:52:46
TERRA,150.529,2022-06-30 11:52:46
COTA,151.084,2022-06-30 11:52:47
MONA,154.891,2022-06-30 11:52:48
LISA,150.243,2022-06-30 11:52:49
BOSSA,149.246,2022-06-30 11:52:49
NOVA,152.17,2022-06-30 11:52:50
TERRA,149.742,2022-06-30 11:52:50
COTA,152.141,2022-06-30 11:52:51
MONA,158.065,2022-06-30 11:52:51
LISA,150.471,2022-06-30 11:52:52
BOSSA,149.187,2022-06-30 11:52:52
NOVA,151.957,2022-06-30 11:52:53
TERRA,150.917,2022-06-30 11:52:53
COTA,150.227,2022-06-30 11:52:54
MONA,182.433,2022-06-30 11:52:54
LISA,149.967,2022-06-30 11:52:55
BOSSA,149.958,2022-06-30 11:52:55
NOVA,150.161,2022-06-30 11:52:56
TERRA,149.322,2022-06-30 11:52:56
COTA,149.879,2022-06-30 11:52:57
MONA,170.406,2022-06-30 11:52:58
LISA,151.339,2022-06-30 11:52:59
BOSSA,150.03,2022-06-30 11:52:59
NOVA,149.936,2022-06-30 11:53:00
TERRA,149.628,2022-06-30 11:53:00
COTA,150.236,2022-06-30 11:53:01
MONA,151.015,2022-06-30 11:53:01
LISA,153.988,2022-06-30 11:53:02
BOSSA,149.274,2022-06-30 11:53:02
NOVA,163.057,2022-06-30 11:53:03
TERRA,148.935,2022-06-30 11:53:03
COTA,149.382,2022-06-30 11:53:04
MONA,175.603,2022-06-30 11:53:04
LISA,148.887,2022-06-30 11:53:05
BOSSA,150.52,2022-06-30 11:53:05
NOVA,150.142,2022-06-30 11:53:06
TERRA,149.46,2022-06-30 11:53:06
COTA,150.293,2022-06-30 11:53:07
MONA,151.634,2022-06-30 11:53:08
LISA,161.51,2022-06-30 11:53:09
BOSSA,151.89,2022-06-30 11:53:09
NOVA,151.81,2022-06-30 11:53:10
TERRA,162.97,2022-06-30 11:53:10
COTA,150.12,2022-06-30 11:53:11
MONA,151.094,2022-06-30 11:53:11
LISA,179.564,2022-06-30 11:53:12
BOSSA,151.381,2022-06-30 11:53:12
NOVA,149.797,2022-06-30 11:53:13
TERRA,150.09,2022-06-30 11:53:13
COTA,168.23,2022-06-30 11:53:14
MONA,175.395,2022-06-30 11:53:14
LISA,149.721,2022-06-30 11:53:15
BOSSA,160.522,2022-06-30 11:53:15
NOVA,149.094,2022-06-30 11:53:16
TERRA,158.177,2022-06-30 11:53:16
COTA,151.386,2022-06-30 11:53:17
MONA,158.18,2022-06-30 11:53:18
LISA,149.591,2022-06-30 11:53:19
BOSSA,150.595,2022-06-30 11:53:19
NOVA,152.347,2022-06-30 11:53:20
TERRA,149.469,2022-06-30 11:53:20
COTA,150.02,2022-06-30 11:53:21
MONA,150.235,2022-06-30 11:53:21
LISA,150.491,2022-06-30 11:53:22
BOSSA,150.687,2022-06-30 11:53:22
NOVA,149.688,2022-06-30 11:53:23
TERRA,150.065,2022-06-30 11:53:23
COTA,152.347,2022-06-30 11:53:24
MONA,151.025,2022-06-30 11:53:24
LISA,150.311,2022-06-30 11:53:25
BOSSA,148.973,2022-06-30 11:53:25
