serial_number,latency,timestamp
MONA,405.243,2022-06-30 13:22:14.180525
LISA,329.154,2022-06-30 13:22:16.687099
BOSSA,326.651,2022-06-30 13:22:19.678320
NOVA,385.939,2022-06-30 13:22:22.744530
TERRA,1312.09,2022-06-30 13:22:26.659043
COTA,343.458,2022-06-30 13:22:29.747338
MONA,326.431,2022-06-30 13:22:36.685028
LISA,325.769,2022-06-30 13:22:39.689009
BOSSA,892.631,2022-06-30 13:22:43.259299
NOVA,323.966,2022-06-30 13:22:45.700376
TERRA,608.821,2022-06-30 13:22:49.504546
COTA,385.73,2022-06-30 13:22:51.782505
MONA,678.649,2022-06-30 13:23:00.068109
LISA,324.614,2022-06-30 13:23:02.721713
BOSSA,363.171,2022-06-30 13:23:05.758503
NOVA,449.81,2022-06-30 13:23:08.846149
TERRA,337.777,2022-06-30 13:23:11.736921
COTA,326.875,2022-06-30 13:23:14.730461
MONA,325.166,2022-06-30 13:23:22.737675
LISA,374.232,2022-06-30 13:23:25.792692
BOSSA,323.036,2022-06-30 13:23:28.741901
NOVA,323.39,2022-06-30 13:23:31.770179
TERRA,323.587,2022-06-30 13:23:34.750006
MONA,504.783,2022-06-30 13:23:38.761311
LISA,326.133,2022-06-30 13:23:39.626892
BOSSA,342.078,2022-06-30 13:23:41.195701
NOVA,332.3,2022-06-30 13:23:42.633758
TERRA,356.233,2022-06-30 13:23:44.158652
COTA,327.575,2022-06-30 13:23:45.645787
MONA,327.164,2022-06-30 13:23:48.134232
LISA,323.242,2022-06-30 13:23:49.632284
BOSSA,332.772,2022-06-30 13:23:51.144248
NOVA,325.095,2022-06-30 13:23:52.640115
TERRA,356.641,2022-06-30 13:23:54.175871
COTA,407.549,2022-06-30 13:23:55.739600
MONA,523.001,2022-06-30 13:23:58.351005
LISA,380.404,2022-06-30 13:23:59.710451
BOSSA,343.443,2022-06-30 13:24:01.169281
NOVA,323.715,2022-06-30 13:24:02.650840
TERRA,324.067,2022-06-30 13:24:04.153262
COTA,795.906,2022-06-30 13:24:06.127534
MONA,349.087,2022-06-30 13:24:08.184625
LISA,380.817,2022-06-30 13:24:09.727451
BOSSA,323.455,2022-06-30 13:24:11.164907
NOVA,329.9,2022-06-30 13:24:12.699234
TERRA,324.427,2022-06-30 13:24:14.170387
COTA,347.346,2022-06-30 13:24:15.693253
MONA,330.227,2022-06-30 13:24:18.179043
LISA,450.161,2022-06-30 13:24:19.801240
BOSSA,332.217,2022-06-30 13:24:21.197176
NOVA,341.333,2022-06-30 13:24:22.701265
TERRA,324.97,2022-06-30 13:24:24.189282
COTA,344.557,2022-06-30 13:24:26.146340
MONA,363.759,2022-06-30 13:24:28.227745
LISA,323.631,2022-06-30 13:24:29.689503
BOSSA,326.345,2022-06-30 13:24:31.206474
NOVA,326.227,2022-06-30 13:24:32.696355
TERRA,1663.481,2022-06-30 13:24:36.109031
COTA,1938.827,2022-06-30 13:24:38.859167
MONA,1655.189,2022-06-30 13:24:41.054269
LISA,1426.064,2022-06-30 13:24:42.452503
