serial_number,latency,timestamp
MONA,150.987,2022-06-30 13:22:13
LISA,144.62,2022-06-30 13:22:16
BOSSA,144.334,2022-06-30 13:22:19
NOVA,164.517,2022-06-30 13:22:22
TERRA,472.268,2022-06-30 13:22:25
COTA,161.897,2022-06-30 13:22:29
MONA,143.941,2022-06-30 13:22:36
LISA,144.815,2022-06-30 13:22:39
BOSSA,710.086,2022-06-30 13:22:43
NOVA,142.956,2022-06-30 13:22:45
TERRA,426.876,2022-06-30 13:22:49
COTA,199.285,2022-06-30 13:22:51
MONA,494.468,2022-06-30 13:22:59
LISA,143.202,2022-06-30 13:23:02
BOSSA,143.098,2022-06-30 13:23:05
NOVA,145.549,2022-06-30 13:23:08
TERRA,143.845,2022-06-30 13:23:11
COTA,142.999,2022-06-30 13:23:14
MONA,143.952,2022-06-30 13:23:22
LISA,161.59,2022-06-30 13:23:25
BOSSA,142.252,2022-06-30 13:23:28
NOVA,142.619,2022-06-30 13:23:31
TERRA,142.929,2022-06-30 13:23:34
MONA,145.562,2022-06-30 13:23:38
LISA,145.39,2022-06-30 13:23:39
BOSSA,159.182,2022-06-30 13:23:41
NOVA,144.981,2022-06-30 13:23:42
TERRA,142.663,2022-06-30 13:23:43
COTA,146.257,2022-06-30 13:23:45
MONA,146.016,2022-06-30 13:23:47
LISA,143.623,2022-06-30 13:23:49
BOSSA,144.998,2022-06-30 13:23:50
NOVA,142.766,2022-06-30 13:23:52
TERRA,152.247,2022-06-30 13:23:53
COTA,225.476,2022-06-30 13:23:55
MONA,286.398,2022-06-30 13:23:58
LISA,196.962,2022-06-30 13:23:59
BOSSA,142.87,2022-06-30 13:24:00
NOVA,143.236,2022-06-30 13:24:02
TERRA,142.538,2022-06-30 13:24:03
COTA,145.496,2022-06-30 13:24:05
MONA,152.106,2022-06-30 13:24:07
LISA,146.224,2022-06-30 13:24:09
BOSSA,142.906,2022-06-30 13:24:10
NOVA,148.679,2022-06-30 13:24:12
TERRA,143.611,2022-06-30 13:24:13
COTA,143.033,2022-06-30 13:24:15
MONA,144.342,2022-06-30 13:24:17
LISA,229.341,2022-06-30 13:24:19
BOSSA,150.607,2022-06-30 13:24:21
NOVA,159.342,2022-06-30 13:24:22
TERRA,143.722,2022-06-30 13:24:24
COTA,159.654,2022-06-30 13:24:25
MONA,181.502,2022-06-30 13:24:28
LISA,143.2,2022-06-30 13:24:29
BOSSA,146.068,2022-06-30 13:24:31
NOVA,144.285,2022-06-30 13:24:32
TERRA,143.667,2022-06-30 13:24:34
COTA,144.387,2022-06-30 13:24:37
MONA,144.785,2022-06-30 13:24:39
LISA,147.377,2022-06-30 13:24:41
BOSSA,166.543,2022-06-30 13:24:42
NOVA,143.665,2022-06-30 13:24:43
TERRA,142.41,2022-06-30 13:24:45
COTA,143.047,2022-06-30 13:24:46
MONA,145.196,2022-06-30 13:24:48
LISA,145.203,2022-06-30 13:24:49
BOSSA,152.6,2022-06-30 13:24:51
NOVA,200.48,2022-06-30 13:24:52
TERRA,188.349,2022-06-30 13:24:54
COTA,142.868,2022-06-30 13:24:55
MONA,144.531,2022-06-30 13:24:58
LISA,144.637,2022-06-30 13:24:59
BOSSA,149.756,2022-06-30 13:25:01
NOVA,145.065,2022-06-30 13:25:02
